time	V(vo2)
4.753102280998997e-005	4.476789e+001
4.753143450048417e-005	4.476789e+001
4.753190963027731e-005	4.476789e+001
4.753236660108920e-005	4.476789e+001
4.753300955655931e-005	4.476788e+001
4.753351591661736e-005	4.476788e+001
4.753402278145913e-005	4.476788e+001
4.753458814932970e-005	4.476788e+001
4.753515808147632e-005	4.476788e+001
4.753583729359689e-005	4.476788e+001
4.753650515894672e-005	4.476788e+001
4.753691402231003e-005	4.476788e+001
4.753726908593783e-005	4.476788e+001
4.753762534040820e-005	4.476788e+001
4.753796823590492e-005	4.476788e+001
4.753829343687871e-005	4.476787e+001
4.753864518210541e-005	4.476787e+001
4.753900760705657e-005	4.476787e+001
4.753936718102439e-005	4.476787e+001
4.753977594681297e-005	4.476787e+001
4.754022198632732e-005	4.476787e+001
4.754068540255632e-005	4.476786e+001
4.754118860557724e-005	4.476786e+001
4.754173657332481e-005	4.476786e+001
4.754239284359210e-005	4.476786e+001
4.754277727407608e-005	4.476786e+001
4.754313723479356e-005	4.476786e+001
4.754345177979819e-005	4.476786e+001
4.754371529458804e-005	4.476786e+001
4.754389974773524e-005	4.476786e+001
4.754416172483844e-005	4.476786e+001
4.754442678198481e-005	4.476786e+001
4.754484256332819e-005	4.476786e+001
4.754529294637849e-005	4.476786e+001
4.754560455020457e-005	4.476786e+001
4.754585706849210e-005	4.476786e+001
4.754604800447440e-005	4.476786e+001
4.754626535623252e-005	4.476785e+001
4.754647205103962e-005	4.476785e+001
4.754680915548815e-005	4.476785e+001
4.754715275144886e-005	4.476785e+001
4.754760452954990e-005	4.476785e+001
4.754805883515345e-005	4.476785e+001
4.754865343917225e-005	4.476785e+001
4.754899179146288e-005	4.476785e+001
4.754927561020569e-005	4.476785e+001
4.754948865516584e-005	4.476785e+001
4.754973358298692e-005	4.476785e+001
4.754997277290826e-005	4.476785e+001
4.755035273808217e-005	4.476785e+001
4.755074762209308e-005	4.476785e+001
4.755127364464498e-005	4.476785e+001
4.755184722785369e-005	4.476784e+001
4.755222950024451e-005	4.476784e+001
4.755256614250372e-005	4.476784e+001
4.755313088278257e-005	4.476784e+001
4.755333899719369e-005	4.476784e+001
4.755353099731088e-005	4.476784e+001
4.755371546679918e-005	4.476784e+001
4.755401847485186e-005	4.476784e+001
4.755434230747924e-005	4.476783e+001
4.755477621873339e-005	4.476783e+001
4.755508956096055e-005	4.476783e+001
4.755540840937697e-005	4.476783e+001
4.755575285584138e-005	4.476783e+001
4.755616645237340e-005	4.476783e+001
4.755661773062428e-005	4.476783e+001
4.755713306612425e-005	4.476783e+001
4.755770401448922e-005	4.476783e+001
4.755812946211427e-005	4.476783e+001
4.755854779822655e-005	4.476783e+001
4.755896340895988e-005	4.476783e+001
4.755946425765920e-005	4.476783e+001
4.756000403049326e-005	4.476782e+001
4.756055153515293e-005	4.476782e+001
4.756119401352899e-005	4.476782e+001
4.756195801282337e-005	4.476782e+001
4.756242605030367e-005	4.476782e+001
4.756279901449445e-005	4.476782e+001
4.756323118271233e-005	4.476782e+001
4.756377476701490e-005	4.476782e+001
4.756439704277360e-005	4.476781e+001
4.756505400136529e-005	4.476781e+001
4.756559452346112e-005	4.476781e+001
4.756612988892489e-005	4.476781e+001
4.756680281534781e-005	4.476781e+001
4.756741288314617e-005	4.476781e+001
4.756834955400510e-005	4.476781e+001
4.756903021808923e-005	4.476780e+001
4.756970557437054e-005	4.476780e+001
4.757046544449570e-005	4.476780e+001
4.757132822767740e-005	4.476780e+001
4.757189352442084e-005	4.476780e+001
4.757243635980166e-005	4.476780e+001
4.757305279965221e-005	4.476780e+001
4.757375295400337e-005	4.476779e+001
4.757455090394214e-005	4.476779e+001
4.757582639871097e-005	4.476779e+001
4.757666665800714e-005	4.476779e+001
4.757745939884539e-005	4.476778e+001
4.757850372563363e-005	4.476778e+001
4.757917587822069e-005	4.476778e+001
4.757983359147608e-005	4.476778e+001
4.758061458696658e-005	4.476778e+001
4.758159657869063e-005	4.476778e+001
4.758231985697511e-005	4.476777e+001
4.758309448561066e-005	4.476777e+001
4.758398608572037e-005	4.476777e+001
4.758509745074468e-005	4.476777e+001
4.758578602690605e-005	4.476777e+001
4.758649602095919e-005	4.476777e+001
4.758737311712225e-005	4.476776e+001
4.758848695384996e-005	4.476776e+001
4.758933005679158e-005	4.476776e+001
4.759025353341662e-005	4.476776e+001
4.759125416313112e-005	4.476775e+001
4.759213585923613e-005	4.476775e+001
4.759291607257452e-005	4.476775e+001
4.759397702179882e-005	4.476775e+001
4.759498446325894e-005	4.476775e+001
4.759587395809783e-005	4.476775e+001
4.759686479208561e-005	4.476775e+001
