time	V(n003)
3.270728832138747e-005	6.250508e-002
3.270764242514421e-005	5.348290e-002
3.270784944680791e-005	4.723179e-002
3.270807315210525e-005	4.022499e-002
3.270828114433286e-005	3.396993e-002
3.270863245825872e-005	2.462761e-002
3.270899886843523e-005	1.718393e-002
3.270941240715586e-005	1.243996e-002
3.270984726515616e-005	1.183383e-002
3.271034148090782e-005	1.591827e-002
3.271083704987562e-005	2.378276e-002
3.271128687018510e-005	3.313424e-002
3.271162608005362e-005	4.099358e-002
3.271196944911597e-005	4.911252e-002
3.271230950524853e-005	5.665706e-002
3.271283779242989e-005	6.645612e-002
3.271336046638262e-005	7.246692e-002
3.271397653820118e-005	7.312042e-002
3.271454640290869e-005	6.694858e-002
3.271506595261403e-005	5.618955e-002
3.271528564390697e-005	5.032225e-002
3.271547673632316e-005	4.471630e-002
3.271573098490715e-005	3.726806e-002
3.271598740880316e-005	3.031383e-002
3.271637307025038e-005	2.167032e-002
3.271678285723598e-005	1.558238e-002
3.271725004035109e-005	1.320353e-002
3.271775622691597e-005	1.561834e-002
3.271824504379531e-005	2.199958e-002
3.271870227189097e-005	3.053851e-002
3.271907250944339e-005	3.855456e-002
3.271936191080738e-005	4.512508e-002
3.271966446699928e-005	5.183058e-002
3.272011050701323e-005	6.068527e-002
3.272062106878665e-005	6.826258e-002
3.272120456799393e-005	7.207913e-002
3.272178253620195e-005	6.927586e-002
3.272245916427496e-005	5.867080e-002
3.272279453240060e-005	5.086269e-002
3.272300977474538e-005	4.499007e-002
3.272325650992974e-005	3.814036e-002
3.272350453446468e-005	3.169729e-002
3.272388042387456e-005	2.347776e-002
3.272428427282190e-005	1.746637e-002
3.272477774457494e-005	1.467985e-002
3.272528689675022e-005	1.670876e-002
3.272580065595901e-005	2.297718e-002
3.272624806492305e-005	3.090462e-002
3.272660966840979e-005	3.838452e-002
3.272688995811443e-005	4.447239e-002
3.272720317898034e-005	5.113387e-002
3.272762843873484e-005	5.925598e-002
3.272814292340151e-005	6.668540e-002
3.272871094116281e-005	7.045577e-002
3.272929924614740e-005	6.804716e-002
3.272996496467631e-005	5.848693e-002
3.273030792208531e-005	5.103594e-002
3.273051994677478e-005	4.559295e-002
3.273075574687298e-005	3.937240e-002
3.273098546562048e-005	3.361765e-002
3.273135170600225e-005	2.567562e-002
3.273173962863724e-005	1.970301e-002
3.273226669933682e-005	1.611353e-002
3.273276263642336e-005	1.735590e-002
3.273328347787666e-005	2.295194e-002
3.273372215205350e-005	3.011167e-002
3.273408837869626e-005	3.724753e-002
3.273435357812812e-005	4.273404e-002
3.273471997769159e-005	5.024930e-002
3.273509025456672e-005	5.711922e-002
3.273563628364978e-005	6.500709e-002
3.273615980919908e-005	6.879547e-002
3.273678433582047e-005	6.709503e-002
3.273740363804109e-005	5.940028e-002
3.273776563717662e-005	5.224055e-002
3.273796891577196e-005	4.739785e-002
3.273817716787156e-005	4.218712e-002
3.273840733969760e-005	3.654662e-002
3.273871662567984e-005	2.966919e-002
3.273909564334085e-005	2.303122e-002
3.273956338973108e-005	1.824014e-002
3.274007578316085e-005	1.786037e-002
3.274079397104848e-005	2.380838e-002
3.274129869916195e-005	3.127987e-002
3.274165026277351e-005	3.783771e-002
3.274190611282299e-005	4.292430e-002
3.274225300042843e-005	4.974292e-002
3.274262740319070e-005	5.640378e-002
3.274315965227925e-005	6.377678e-002
3.274368784930704e-005	6.747167e-002
3.274430495424016e-005	6.593471e-002
3.274493466754597e-005	5.853959e-002
3.274529697406756e-005	5.175247e-002
3.274550209382554e-005	4.711423e-002
3.274571132720269e-005	4.214485e-002
3.274594338805587e-005	3.674596e-002
3.274625352165175e-005	3.019909e-002
3.274663479796436e-005	2.386039e-002
3.274710356511792e-005	1.935477e-002
3.274763996414729e-005	1.899417e-002
3.274829865007947e-005	2.412871e-002
3.274877707741541e-005	3.083584e-002
3.274913403004953e-005	3.714424e-002
3.274939897604176e-005	4.216963e-002
3.274976997464513e-005	4.917383e-002
3.275012256943183e-005	5.521888e-002
3.275066343354574e-005	6.252007e-002
3.275117387605692e-005	6.611236e-002
3.275180491123242e-005	6.490809e-002
3.275241963079587e-005	5.833925e-002
3.275278704382642e-005	5.191938e-002
3.275300260285885e-005	4.733432e-002
3.275320783785105e-005	4.272034e-002
3.275346443532348e-005	3.703508e-002
3.275375539859432e-005	3.116948e-002
3.275415238859422e-005	2.479926e-002
3.275460010122508e-005	2.060969e-002
3.275517730796929e-005	2.031620e-002
3.275590994555877e-005	2.601152e-002
3.275638939468500e-005	3.264814e-002
3.275672296361790e-005	3.840889e-002
3.275698201118255e-005	4.314930e-002
3.275730791100356e-005	4.902355e-002
3.275769006761201e-005	5.524824e-002
3.275820209371408e-005	6.170524e-002
3.275873777093888e-005	6.509446e-002
3.275934476943548e-005	6.366963e-002
3.275999747523462e-005	5.666058e-002
3.276035081942880e-005	5.065619e-002
3.276055793701924e-005	4.641408e-002
3.276077203036645e-005	4.182365e-002
3.276099785012171e-005	3.709214e-002
3.276131972898902e-005	3.098364e-002
3.276169954872024e-005	2.534269e-002
3.276218153885901e-005	2.135393e-002
3.276275928457487e-005	2.129768e-002
3.276339145796836e-005	2.606900e-002
3.276383453970980e-005	3.188745e-002
3.276417863995115e-005	3.749604e-002
3.276443981662519e-005	4.204717e-002
3.276480917072805e-005	4.845370e-002
3.276515436635014e-005	5.389190e-002
3.276568856428949e-005	6.052986e-002
3.276619265598496e-005	6.382750e-002
3.276682572813869e-005	6.282134e-002
3.276744574243207e-005	5.691413e-002
3.276780745616395e-005	5.123744e-002
3.276803123971120e-005	4.694892e-002
3.276823783227023e-005	4.276031e-002
3.276850415481758e-005	3.742909e-002
3.276879235675559e-005	3.217868e-002
3.276919726937985e-005	2.629804e-002
3.276964229385199e-005	2.255668e-002
3.277024337580703e-005	2.245826e-002
3.277102739051435e-005	2.831486e-002
3.277149239254082e-005	3.436483e-002
3.277180221927106e-005	3.934575e-002
3.277207373839075e-005	4.392719e-002
3.277235258675182e-005	4.851528e-002
3.277277225089900e-005	5.472137e-002
3.277324812199847e-005	6.004940e-002
3.277381804454860e-005	6.307935e-002
3.277439744982583e-005	6.148248e-002
3.277510901272124e-005	5.407927e-002
3.277544019571546e-005	4.883646e-002
3.277565182607453e-005	4.485297e-002
3.277588747303134e-005	4.028666e-002
3.277611052329710e-005	3.615256e-002
3.277648150062582e-005	3.011594e-002
3.277686805912630e-005	2.554298e-002
3.277740661120770e-005	2.275794e-002
3.277802206872946e-005	2.413097e-002
3.277857224182751e-005	2.894055e-002
3.277896535312797e-005	3.410844e-002
3.277928540052627e-005	3.903269e-002
3.277954601195107e-005	4.323353e-002
3.277985653822244e-005	4.814764e-002
3.278024181211162e-005	5.364307e-002
3.278073656898944e-005	5.907052e-002
3.278127570176259e-005	6.200550e-002
3.278187702540278e-005	6.071281e-002
3.278255651782344e-005	5.433371e-002
3.278289456733544e-005	4.936134e-002
3.278310629584516e-005	4.561774e-002
3.278332722337837e-005	4.154610e-002
3.278354584970722e-005	3.762067e-002
3.278388351878048e-005	3.214353e-002
3.278426224963271e-005	2.737892e-002
