time	V(n003)	V(n008)
2.081457316806951e-006	9.784696e-001	-5.943326e-001
2.081647695377498e-006	9.784814e-001	-5.940811e-001
2.081934830051174e-006	9.785032e-001	-5.937012e-001
2.082230516332190e-006	9.785301e-001	-5.933093e-001
2.082601864284578e-006	9.785703e-001	-5.928161e-001
2.082997188502384e-006	9.786201e-001	-5.922903e-001
2.083389686702991e-006	9.786769e-001	-5.917677e-001
2.083845998285261e-006	9.787515e-001	-5.911596e-001
2.084300689552537e-006	9.788349e-001	-5.905532e-001
2.084815660528122e-006	9.789402e-001	-5.898658e-001
2.085355008372286e-006	9.790636e-001	-5.891449e-001
2.085989410018085e-006	9.792277e-001	-5.882948e-001
2.086774622749726e-006	9.794549e-001	-5.872390e-001
2.087200588637289e-006	9.795914e-001	-5.866640e-001
2.087655243281084e-006	9.797508e-001	-5.860477e-001
2.088148073203788e-006	9.799368e-001	-5.853771e-001
2.088717356039938e-006	9.801676e-001	-5.845998e-001
2.089272918785051e-006	9.804099e-001	-5.838388e-001
2.090105435000739e-006	9.807985e-001	-5.826955e-001
2.090737373446755e-006	9.811125e-001	-5.818262e-001
2.091388854735810e-006	9.814570e-001	-5.809281e-001
2.092132970872573e-006	9.818753e-001	-5.798995e-001
2.092939560865287e-006	9.823589e-001	-5.787800e-001
2.093687468559397e-006	9.828362e-001	-5.777367e-001
2.094268517074255e-006	9.832293e-001	-5.769216e-001
2.094894501692562e-006	9.836761e-001	-5.760389e-001
2.095634697746318e-006	9.842315e-001	-5.749905e-001
2.096505664336834e-006	9.849161e-001	-5.737525e-001
2.097185129310702e-006	9.854738e-001	-5.727838e-001
2.097909643346274e-006	9.860948e-001	-5.717480e-001
2.098806121116764e-006	9.868985e-001	-5.704610e-001
2.099750037464626e-006	9.877850e-001	-5.690987e-001
2.100459209865985e-006	9.884823e-001	-5.680686e-001
2.101130780959859e-006	9.891734e-001	-5.670865e-001
2.102085377944651e-006	9.901968e-001	-5.656820e-001
2.102948358152779e-006	9.911582e-001	-5.644060e-001
2.103802006506172e-006	9.921451e-001	-5.631383e-001
2.104646630116808e-006	9.931574e-001	-5.618785e-001
2.105680329926585e-006	9.944466e-001	-5.603274e-001
2.106792659294088e-006	9.958898e-001	-5.586461e-001
2.107545878489436e-006	9.969068e-001	-5.574982e-001
2.108395626337911e-006	9.980980e-001	-5.561928e-001
2.109400378098869e-006	9.995556e-001	-5.546389e-001
2.110554292680811e-006	1.001287e+000	-5.528433e-001
2.111560242969157e-006	1.002850e+000	-5.512674e-001
2.112749448539980e-006	1.004770e+000	-5.493880e-001
2.114049538915613e-006	1.006951e+000	-5.473127e-001
2.115019240481186e-006	1.008642e+000	-5.457475e-001
2.116290693757184e-006	1.010943e+000	-5.436743e-001
2.117585895966556e-006	1.013364e+000	-5.415443e-001
2.118682538646000e-006	1.015484e+000	-5.397236e-001
2.120023004360122e-006	1.018171e+000	-5.374725e-001
2.121438086314514e-006	1.021110e+000	-5.350656e-001
2.122658054087151e-006	1.023736e+000	-5.329629e-001
2.125081311716431e-006	1.029193e+000	-5.287179e-001
