time	I(R7)
8.864214124661499e-005	5.101364e-002
8.864243354599760e-005	5.102423e-002
8.864263895234578e-005	5.103166e-002
8.864284489561169e-005	5.103912e-002
8.864305721733093e-005	5.104681e-002
8.864336990306240e-005	5.105814e-002
8.864372909484636e-005	5.107114e-002
8.864417884900389e-005	5.108743e-002
8.864467683169716e-005	5.110546e-002
8.864536997204436e-005	5.113056e-002
8.864567672844589e-005	5.114167e-002
8.864587950924152e-005	5.114901e-002
8.864608041293104e-005	5.115629e-002
8.864630120976672e-005	5.116428e-002
8.864660183437872e-005	5.117517e-002
8.864696609161421e-005	5.118836e-002
8.864740484601508e-005	5.120425e-002
8.864791083366616e-005	5.122257e-002
8.864861174642108e-005	5.124795e-002
8.864892018618439e-005	5.125912e-002
8.864911726531866e-005	5.126626e-002
8.864934952705281e-005	5.127467e-002
8.864957848537039e-005	5.128296e-002
8.864994129385156e-005	5.129610e-002
8.865031641766899e-005	5.130968e-002
8.865081354663545e-005	5.132768e-002
8.865134639058150e-005	5.134698e-002
8.865169825220121e-005	5.135972e-002
8.865199473314864e-005	5.137046e-002
8.865223479762041e-005	5.137915e-002
8.865242669762324e-005	5.138610e-002
8.865268836501933e-005	5.139557e-002
8.865295531241407e-005	5.140524e-002
8.865334616700929e-005	5.141939e-002
8.865375083306690e-005	5.143405e-002
8.865428329869404e-005	5.145333e-002
8.865492406884626e-005	5.147653e-002
8.865521465759724e-005	5.148705e-002
8.865542112234531e-005	5.149453e-002
8.865562696026494e-005	5.150198e-002
8.865584030384732e-005	5.150971e-002
8.865615208956956e-005	5.152100e-002
8.865651193425486e-005	5.153403e-002
8.865696071487170e-005	5.155028e-002
8.865745921931081e-005	5.156833e-002
8.865814942771513e-005	5.159333e-002
8.865845492266739e-005	5.160439e-002
8.865866064281663e-005	5.161184e-002
8.865885987446517e-005	5.161905e-002
8.865908685394205e-005	5.162727e-002
8.865938135703064e-005	5.163793e-002
8.865974946826311e-005	5.165126e-002
8.866018201972650e-005	5.166693e-002
8.866069190177628e-005	5.168539e-002
8.866138154639547e-005	5.171036e-002
8.866168695635668e-005	5.172142e-002
8.866188064203875e-005	5.172843e-002
8.866210574796224e-005	5.173659e-002
8.866232202233218e-005	5.174442e-002
8.866267849262643e-005	5.175732e-002
8.866304398953695e-005	5.177056e-002
8.866353509003749e-005	5.178834e-002
8.866405047555648e-005	5.180700e-002
8.866447636992833e-005	5.182242e-002
8.866475028308438e-005	5.183234e-002
8.866499111113979e-005	5.184107e-002
8.866517930725126e-005	5.184788e-002
8.866542832708727e-005	5.185690e-002
8.866567953098176e-005	5.186599e-002
8.866605882782916e-005	5.187973e-002
8.866645071595528e-005	5.189392e-002
8.866696811114447e-005	5.191265e-002
8.866755369131563e-005	5.193385e-002
8.866781282981448e-005	5.194324e-002
8.866809144341889e-005	5.195333e-002
8.866829747194993e-005	5.196079e-002
8.866854196704077e-005	5.196964e-002
8.866878790979652e-005	5.197855e-002
8.866915906261680e-005	5.199198e-002
8.866954692225010e-005	5.200603e-002
8.867005282780019e-005	5.202435e-002
8.867061180809627e-005	5.204459e-002
8.867092266551593e-005	5.205584e-002
8.867121784835591e-005	5.206653e-002
8.867145207457766e-005	5.207501e-002
8.867166215021857e-005	5.208262e-002
8.867187433592161e-005	5.209030e-002
8.867219057826295e-005	5.210175e-002
8.867255149483042e-005	5.211482e-002
8.867300689045787e-005	5.213131e-002
8.867351228242920e-005	5.214961e-002
8.867408527289331e-005	5.217036e-002
8.867436782590554e-005	5.218059e-002
8.867457527955355e-005	5.218810e-002
8.867478154140143e-005	5.219557e-002
8.867499603085194e-005	5.220334e-002
8.867530841517521e-005	5.221465e-002
8.867566915842645e-005	5.222771e-002
8.867611831124209e-005	5.224397e-002
8.867661775032593e-005	5.226206e-002
8.867730954580447e-005	5.228711e-002
8.867761624031106e-005	5.229821e-002
8.867782109205427e-005	5.230563e-002
8.867802023865279e-005	5.231284e-002
8.867824666124874e-005	5.232104e-002
8.867854144407189e-005	5.233171e-002
8.867890919221286e-005	5.234503e-002
8.867934211800183e-005	5.236070e-002
8.867985187299698e-005	5.237916e-002
8.868054446541790e-005	5.240424e-002
8.868085040433793e-005	5.241532e-002
8.868104654722805e-005	5.242242e-002
8.868127682454610e-005	5.243076e-002
8.868150238643471e-005	5.243892e-002
8.868186338730627e-005	5.245199e-002
8.868223585781210e-005	5.246548e-002
8.868273097182439e-005	5.248341e-002
8.868325809770553e-005	5.250249e-002
8.868362856743681e-005	5.251591e-002
8.868392230353128e-005	5.252654e-002
8.868416255746955e-005	5.253524e-002
8.868434774417927e-005	5.254195e-002
8.868460017933191e-005	5.255109e-002
8.868485464851375e-005	5.256030e-002
8.868523805602435e-005	5.257418e-002
8.868563244093450e-005	5.258847e-002
8.868615476965991e-005	5.260738e-002
8.868675122617950e-005	5.262898e-002
8.868700224137424e-005	5.263806e-002
8.868727293542475e-005	5.264786e-002
8.868772061544628e-005	5.266407e-002
8.868797439089832e-005	5.267326e-002
8.868835431790831e-005	5.268702e-002
8.868874787081385e-005	5.270127e-002
8.868926276723102e-005	5.271991e-002
8.868983769132199e-005	5.274073e-002
8.869012696192252e-005	5.275120e-002
8.869041872324596e-005	5.276176e-002
8.869064681181135e-005	5.277002e-002
8.869086799063314e-005	5.277803e-002
8.869108537845616e-005	5.278590e-002
8.869142378942901e-005	5.279816e-002
8.869179028853785e-005	5.281143e-002
8.869226694395785e-005	5.282868e-002
8.869278598666250e-005	5.284747e-002
8.869318716906230e-005	5.286200e-002
8.869345853351751e-005	5.287183e-002
8.869368688507739e-005	5.288009e-002
8.869388192964123e-005	5.288716e-002
8.869413764564862e-005	5.289642e-002
8.869441233522526e-005	5.290636e-002
8.869479894079227e-005	5.292036e-002
8.869520983785864e-005	5.293524e-002
8.869573387465524e-005	5.295421e-002
8.869635439692075e-005	5.297668e-002
8.869662318630039e-005	5.298641e-002
8.869688724353481e-005	5.299597e-002
8.869733108267039e-005	5.301204e-002
8.869757570723058e-005	5.302090e-002
8.869794671350836e-005	5.303433e-002
8.869833416449285e-005	5.304836e-002
8.869884324398322e-005	5.306679e-002
8.869941441608936e-005	5.308747e-002
8.869968888524857e-005	5.309741e-002
8.869997137460686e-005	5.310763e-002
8.870018447916864e-005	5.311535e-002
8.870042117659072e-005	5.312392e-002
8.870065593402296e-005	5.313242e-002
8.870101780321382e-005	5.314552e-002
8.870139725663390e-005	5.315926e-002
8.870189347600505e-005	5.317723e-002
8.870243210921947e-005	5.319673e-002
8.870278008254670e-005	5.320933e-002
8.870307849101825e-005	5.322013e-002
8.870331994701233e-005	5.322887e-002
8.870351155730941e-005	5.323581e-002
8.870377325517417e-005	5.324529e-002
8.870403968870913e-005	5.325493e-002
8.870443065250172e-005	5.326909e-002
8.870483505621363e-005	5.328373e-002
8.870536840973470e-005	5.330304e-002
8.870601482039581e-005	5.332644e-002
8.870630778620020e-005	5.333705e-002
8.870650430188934e-005	5.334417e-002
8.870671535617797e-005	5.335181e-002
8.870694693452474e-005	5.336019e-002
8.870726663090175e-005	5.337177e-002
8.870763942285531e-005	5.338527e-002
8.870809331781512e-005	5.340170e-002
8.870860853239793e-005	5.342035e-002
8.870924502002789e-005	5.344339e-002
8.870954824599653e-005	5.345437e-002
8.870975398463446e-005	5.346182e-002
8.870995599185444e-005	5.346914e-002
8.871019556259269e-005	5.347781e-002
8.871049386667898e-005	5.348861e-002
8.871087128391880e-005	5.350227e-002
8.871130649169487e-005	5.351803e-002
